고위험학교명,고위험_시도교육청,고위험_지역,고위험_학생수,고위험_위기확률,고위험_위도,고위험_경도,고위험_운영비,고위험_1인당운영비,고위험_일반직수,고위험_시군구,후보순위,후보학교명,후보_위도,후보_경도,후보_시군구,직선거리_km,도로거리_km,소요시간_분,초등_운영비,중학교_운영비,운영비_합산,초등_일반직수,중학교_일반직수,일반직_합산,같은시군구,거리점수,운영비점수,일반직점수,시군구점수,종합점수
여수봉산초등학교,전라남도교육청,전라남도 여수시,23,0.6233241,34.73549535,127.7272231,800255460.0,34793716.0,2.0,여수시,4,충덕중학교,34.75489021,127.7464736,여수시,2.783,6.183,7.6,800255460.0,1314895750.0,2115151210.0,2.0,3.0,5.0,True,0.0,0.8418,1.0,1.0,0.5605
연천왕산초등학교,경기도교육청,경기도 연천군,32,0.648547,38.05625632,127.0110148,1277710680.0,39928459.0,2.0,연천군,1,군남중학교,38.06782209,127.0155896,연천군,1.347,2.322,4.9,1277710680.0,1721725760.0,2999436440.0,2.0,2.0,4.0,True,0.0,1.0,1.0,1.0,0.6
왕궁남초등학교,전북특별자치도교육청,전북특별자치도 익산시,10,0.7129026,35.92708238,127.0755188,440944750.0,44094475.0,2.0,익산시,1,삼례중학교,35.91106842,127.0787163,완주군,1.804,2.335,3.7,440944750.0,1509160390.0,1950105140.0,2.0,4.0,6.0,False,0.0,1.0,1.0,0.0,0.5
용북초등학교,전북특별자치도교육청,전북특별자치도 익산시,7,0.7379954,36.13432786,126.9477189,412902110.0,58986016.0,2.0,익산시,1,용안중학교,36.11646976,126.9529583,익산시,2.041,2.93,4.7,412902110.0,212090790.0,624992900.0,2.0,2.0,4.0,True,0.0,1.0,1.0,1.0,0.6
용안초등학교,전북특별자치도교육청,전북특별자치도 익산시,12,0.7500495,36.12068685,126.954445,433851790.0,36154316.0,3.0,익산시,1,용안중학교,36.11646976,126.9529583,익산시,0.488,0.907,2.0,433851790.0,212090790.0,645942580.0,3.0,2.0,5.0,True,0.0,1.0,1.0,1.0,0.6
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,1,대흥중학교,36.04530538,129.3539589,포항시,0.824,2.295,6.0,1175267021.0,2233551160.0,3408818181.0,3.0,4.0,7.0,False,0.4868,0.8749,0.875,0.0,0.6322
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,2,포항항도중학교,36.01812132,129.3561063,포항시,2.426,3.807,7.4,1175267021.0,2721174171.0,3896441192.0,3.0,4.0,7.0,False,0.1487,1.0,0.875,0.0,0.5282
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,3,포항이동중학교,36.03035784,129.340069,포항시,1.257,3.875,9.1,1175267021.0,2518522390.0,3693789411.0,3.0,4.0,7.0,False,0.1335,0.948,0.875,0.0,0.5091
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,4,포항여자중학교,36.05313299,129.3622002,포항시,1.964,4.044,6.7,1175267021.0,2702575803.0,3877842824.0,3.0,4.0,7.0,False,0.0957,0.9952,0.875,0.0,0.5058
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,5,양학중학교,36.03347484,129.3418898,포항시,0.89,3.459,9.3,1175267021.0,1905021710.0,3080288731.0,3.0,3.0,6.0,False,0.2265,0.7905,0.75,0.0,0.4757
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,6,포항중학교,36.04956264,129.3660959,포항시,1.934,4.472,6.8,1175267021.0,2318729460.0,3493996481.0,3.0,5.0,8.0,False,0.0,0.8967,1.0,0.0,0.4742
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,7,상도중학교,36.01453645,129.3616232,포항시,2.966,3.941,7.6,1175267021.0,1743548084.0,2918815105.0,3.0,3.0,6.0,False,0.1187,0.7491,0.75,0.0,0.4223
용흥초등학교,경상북도교육청,경상북도 문경시,18,0.706308,36.03913743,129.3488775,1175267021.0,65292612.0,3.0,문경시,8,송도중학교,36.02905539,129.3770876,포항시,2.773,3.516,6.9,1175267021.0,1138083602.0,2313350623.0,3.0,3.0,6.0,False,0.2138,0.5937,0.75,0.0,0.4214
의성북부초등학교,경상북도교육청,경상북도 의성군,13,0.7069245,36.36195518,128.6925139,484517140.0,37270549.0,3.0,의성군,1,의성중학교,36.34105051,128.7000801,의성군,2.421,2.579,4.0,484517140.0,1388901480.0,1873418620.0,3.0,4.0,7.0,True,0.0,1.0,1.0,1.0,0.6
의성북부초등학교,경상북도교육청,경상북도 의성군,13,0.7069245,36.36195518,128.6925139,484517140.0,37270549.0,3.0,의성군,2,의성여자중학교,36.35313649,128.7026019,의성군,1.333,2.161,3.5,484517140.0,883310870.0,1367828010.0,3.0,3.0,6.0,True,0.1621,0.7301,0.8571,1.0,0.5616
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,1,능곡중학교,37.62292202,126.8266419,고양시,2.18,2.829,4.3,937611420.0,2065011850.0,3002623270.0,3.0,3.0,6.0,True,0.6599,1.0,0.8571,1.0,0.8282
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,2,무원중학교,37.6176865,126.8305817,고양시,1.681,2.741,4.6,937611420.0,1677501560.0,2615112980.0,3.0,3.0,6.0,True,0.6704,0.8709,0.8571,1.0,0.8002
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,3,지도중학교,37.62706051,126.8340317,고양시,2.766,4.322,6.9,937611420.0,1583987580.0,2521599000.0,3.0,4.0,7.0,True,0.4803,0.8398,1.0,1.0,0.7521
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,4,행신중학교,37.61515697,126.8396543,고양시,1.878,3.777,5.9,937611420.0,1578139340.0,2515750760.0,3.0,2.0,5.0,True,0.5459,0.8379,0.7143,1.0,0.7064
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,5,가람중학교,37.62365997,126.8412071,고양시,2.698,4.254,6.8,937611420.0,1795455100.0,2733066520.0,3.0,2.0,5.0,True,0.4885,0.9102,0.7143,1.0,0.7015
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,6,신능중학교,37.61956704,126.8354977,고양시,2.048,3.359,5.4,937611420.0,1130997190.0,2068608610.0,3.0,2.0,5.0,True,0.5961,0.6889,0.7143,1.0,0.6893
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,7,서정중학교,37.61849724,126.84973,고양시,2.796,4.07,6.7,937611420.0,1458542820.0,2396154240.0,3.0,2.0,5.0,True,0.5106,0.798,0.7143,1.0,0.6823
행주초등학교,경기도교육청,경기도 고양시 덕양구,37,0.62371504,37.6034034,126.8243428,937611420.0,25340849.0,3.0,고양시,8,삼정중학교,37.5814869,126.8106015,강서구,2.721,8.317,9.6,937611420.0,2000313640.0,2937925060.0,3.0,2.0,5.0,False,0.0,0.9785,0.7143,0.0,0.4232
