고위험학교명,고위험_시도교육청,고위험_지역,고위험_학생수,고위험_위기확률,고위험_위도,고위험_경도,고위험_운영비,고위험_1인당운영비,고위험_일반직수,고위험_시군구,후보순위,후보학교명,후보_위도,후보_경도,후보_시군구,직선거리_km,도로거리_km,소요시간_분,초등_운영비,중학교_운영비,운영비_합산,초등_일반직수,중학교_일반직수,일반직_합산,같은시군구,거리점수,운영비점수,일반직점수,시군구점수,종합점수
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,6,남원주중학교,37.32289526,127.9451221,원주시,2.945,3.887,6.6,960916970.0,2163849710.0,3124766680.0,2.0,4.0,6.0,False,0.0,0.9072,0.8571,0.0,0.4411
반곡초등학교,강원특별자치도교육청,강원특별자치도 홍천군,16,0.63722515,37.33734175,127.9730349,960916970.0,60057311.0,2.0,홍천군,7,태장중학교,37.35776383,127.9590329,원주시,2.586,3.774,6.5,960916970.0,1313830890.0,2274747860.0,2.0,4.0,6.0,False,0.0291,0.6604,0.8571,0.0,0.391
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,1,영도제일중학교,35.07759188,129.0688643,영도구,0.57,0.7,1.6,922928765.0,1956982930.0,2879911695.0,2.0,3.0,5.0,True,0.8392,1.0,0.8333,1.0,0.894
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,2,태종대중학교,35.07367396,129.0649205,영도구,0.171,0.489,1.5,922928765.0,1391010065.0,2313938830.0,2.0,3.0,5.0,True,0.8876,0.8035,0.8333,1.0,0.8643
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,3,신선중학교,35.08050882,129.0455401,영도구,1.764,3.346,5.4,922928765.0,936350484.0,1859279249.0,2.0,4.0,6.0,True,0.2312,0.6456,1.0,1.0,0.6039
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,4,부산영선중학교,35.08626719,129.0446792,영도구,2.145,4.069,5.9,922928765.0,1163315070.0,2086243835.0,2.0,3.0,5.0,True,0.065,0.7244,0.8333,1.0,0.5154
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,5,부산남중학교,35.08830794,129.0399633,영도구,2.626,4.352,5.8,922928765.0,1419108290.0,2342037055.0,2.0,3.0,5.0,True,0.0,0.8132,0.8333,1.0,0.5116
봉삼초등학교,부산광역시교육청,부산광역시 영도구,32,0.6683177,35.07478658,129.0636181,922928765.0,28841524.0,2.0,영도구,6,부산체육중학교,35.07205496,129.064034,영도구,0.306,0.814,2.0,922928765.0,,,2.0,0.0,2.0,True,0.813,0.0,0.3333,1.0,0.5085
비룡초등학교,전북특별자치도교육청,전북특별자치도 김제시,9,0.6323201,35.84412437,126.9898157,449749360.0,49972151.0,3.0,김제시,1,용지중학교,35.85077247,126.9605037,김제시,2.743,4.822,6.9,449749360.0,422163250.0,871912610.0,3.0,2.0,5.0,True,0.0,1.0,1.0,1.0,0.6
산북초등학교,경기도교육청,경기도 양주시,31,0.66355324,37.80608755,127.0391829,1073263980.0,34621419.0,4.0,양주시,1,덕계중학교,37.81620717,127.0500454,양주시,1.475,2.523,5.1,1073263980.0,2458091620.0,3531355600.0,4.0,4.0,8.0,True,0.0,1.0,1.0,1.0,0.6
