고위험학교명,고위험_시도교육청,고위험_지역,고위험_학교급,고위험_본교분교,고위험_학생수,고위험_학급수,고위험_위기확률,고위험_위도,고위험_경도,고위험_현재_학급당학생수,고위험_현재_교원1인당,고위험_현재_1인당운영비,후보순위,후보학교명,후보학교급,후보_위도,후보_경도,직선거리_km,도로거리_km,소요시간_분,중심지_현재학교_km,중심지_현재학교_분,중심지_후보학교_km,중심지_후보학교_분,통학거리_변화_km,통학시간_변화_분,폐교시_절감비용,고정비잔존_추정,후보교_추가비용_추정,순절감액_추정,후보_연간운영비,스쿨존_CCTV수,스쿨존_도로폭,버스접근성,버스정류장수,최근접버스_km,후보_현재학생수,후보_학급수,후보_교사수,통폐합후_예상학생수,통폐합후_학급당학생수,통폐합후_교원1인당,수용가능성,통합전_1인당운영비,통합후_1인당운영비,종합점수
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,47,낙민초등학교,초등학교,37.65392838,126.7801004,6.837,8.884,12.8,1.138,2.6,7.926,11.4,6.788,8.8,937611420.0,281283426.0,937611413.0,-281283419.0,2156425490.0,1,18.0,양호,61,0.204,558,25,30,595,23.8,19.8,보통,3864562.0,5200062.0,0.4686
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,48,성라초등학교,초등학교,37.65279018,126.8338443,5.555,7.372,9.2,1.138,2.6,6.414,7.7,5.276,5.1,937611420.0,281283426.0,937611413.0,-281283419.0,1684672080.0,0,0.0,양호,117,0.113,363,18,23,400,22.2,17.4,보통,4640970.0,6555709.0,0.4682
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,49,용두초등학교,초등학교,37.62157483,126.8932079,6.394,8.374,11.7,1.138,2.6,8.565,11.9,7.427,9.3,937611420.0,281283426.0,937611413.0,-281283419.0,1699662625.0,1,0.0,양호,58,0.111,184,12,14,221,18.4,15.8,보통,9237297.0,11933367.0,0.466
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,50,백신초등학교,초등학교,37.64426795,126.7811094,5.928,7.205,9.8,1.138,2.6,6.247,8.4,5.109,5.8,937611420.0,281283426.0,937611413.0,-281283419.0,2449887410.0,0,0.0,양호,80,0.101,366,17,21,403,23.7,19.2,보통,6693681.0,8405704.0,0.4646
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,51,고양화수초등학교,초등학교,37.64537919,126.8327312,4.726,7.21,9.8,1.138,2.6,6.251,8.3,5.113,5.7,937611420.0,281283426.0,937611413.0,-281283419.0,2157844060.0,0,0.0,양호,66,0.125,437,20,24,474,23.7,19.8,보통,4937858.0,6530497.0,0.4645
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,52,서울염창초등학교,초등학교,37.55322614,126.8676002,6.757,8.051,8.2,1.138,2.6,9.189,10.8,8.051,8.2,937611420.0,281283426.0,937611413.0,-281283419.0,3234604447.0,1,8.0,양호,79,0.073,786,40,50,823,20.6,16.5,보통,4115273.0,5069521.0,0.463
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,53,서울백석초등학교,초등학교,37.55364765,126.8624258,6.471,7.87,8.1,1.138,2.6,9.008,10.7,7.87,8.1,937611420.0,281283426.0,937611413.0,-281283419.0,2454119227.0,1,6.0,양호,100,0.125,462,24,28,499,20.8,17.8,보통,5311946.0,6797055.0,0.4626
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,54,고양백석초등학교,초등학교,37.65213917,126.7890577,6.247,8.658,11.4,1.138,2.6,7.7,9.9,6.562,7.3,937611420.0,281283426.0,937611413.0,-281283419.0,1631427920.0,1,6.0,양호,85,0.054,452,20,24,489,24.4,20.4,보통,3609354.0,5253659.0,0.459
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,55,신곡초등학교,초등학교,37.59671156,126.7664388,5.155,8.694,10.8,1.138,2.6,7.694,9.6,6.556,7.0,937611420.0,281283426.0,937611413.0,-281283419.0,2122602160.0,1,6.0,양호,40,0.146,757,32,38,794,24.8,20.9,보통,2803966.0,3854173.0,0.4566
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,56,서울수색초등학교,초등학교,37.58517215,126.8960121,6.632,9.232,9.5,1.138,2.6,8.665,10.0,7.527,7.4,937611420.0,281283426.0,937611413.0,-281283419.0,3054953585.0,1,6.0,양호,76,0.206,681,33,41,718,21.8,17.5,보통,4485982.0,5560675.0,0.4504
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,57,서울염경초등학교,초등학교,37.55500067,126.8712046,6.784,8.43,8.9,1.138,2.6,9.568,11.5,8.43,8.9,937611420.0,281283426.0,937611413.0,-281283419.0,3416033383.0,1,8.0,양호,80,0.063,765,37,46,802,21.7,17.4,보통,4465403.0,5428485.0,0.4468
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,58,서울화곡초등학교,초등학교,37.54366962,126.8464717,6.922,8.825,8.6,1.138,2.6,9.962,11.2,8.824,8.6,937611420.0,281283426.0,937611413.0,-281283419.0,2785147444.0,1,10.0,양호,101,0.012,578,30,39,615,20.5,15.8,보통,4818594.0,6053266.0,0.4467
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,59,서울화일초등학교,초등학교,37.54072601,126.8474076,7.26,9.223,9.7,1.138,2.6,10.36,12.3,9.222,9.7,937611420.0,281283426.0,937611413.0,-281283419.0,2829084211.0,1,8.0,양호,126,0.218,564,33,38,601,18.2,15.8,보통,5016107.0,6267380.0,0.444
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,60,서울우장초등학교,초등학교,37.54963819,126.8459842,6.275,8.253,8.0,1.138,2.6,9.39,10.6,8.252,8.0,937611420.0,281283426.0,937611413.0,-281283419.0,3049684488.0,1,4.0,양호,107,0.16,835,40,51,872,21.8,17.1,보통,3652317.0,4572587.0,0.4427
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,61,서울신북초등학교,초등학교,37.57110496,126.9053603,7.991,10.017,10.6,1.138,2.6,9.293,11.3,8.155,8.7,937611420.0,281283426.0,937611413.0,-281283419.0,3030968024.0,1,7.0,양호,139,0.174,585,30,36,622,20.7,17.3,보통,5181142.0,6380353.0,0.4399
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,62,서울등마초등학교,초등학교,37.54204371,126.8616672,7.574,9.137,9.1,1.138,2.6,10.275,11.7,9.137,9.1,937611420.0,281283426.0,937611413.0,-281283419.0,2518188570.0,1,8.0,양호,69,0.115,627,34,42,664,19.5,15.8,보통,4016250.0,5204518.0,0.4394
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,63,호수초등학교,초등학교,37.6470271,126.7779626,6.341,8.358,12.3,1.138,2.6,7.399,10.9,6.261,8.3,937611420.0,281283426.0,937611413.0,-281283419.0,1951427780.0,0,0.0,양호,55,0.111,281,14,18,318,22.7,17.7,보통,6944583.0,9085029.0,0.4388
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,64,서울수명초등학교,초등학교,37.55277267,126.8238445,5.63,10.441,10.8,1.138,2.6,9.474,10.2,8.336,7.6,937611420.0,281283426.0,937611413.0,-281283419.0,2936530363.0,1,12.0,양호,104,0.163,742,36,43,779,21.6,18.1,보통,3957588.0,4973224.0,0.4383
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,65,서울양원초등학교,초등학교,37.53821733,126.8231052,7.249,10.861,10.5,1.138,2.6,10.194,11.0,9.056,8.4,937611420.0,281283426.0,937611413.0,-281283419.0,1631266504.0,1,6.0,양호,85,0.097,190,14,16,227,16.2,14.2,보통,8585613.0,11316643.0,0.438
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,66,금란초등학교,초등학교,37.60765405,126.7511726,6.463,9.657,11.7,1.138,2.6,8.657,10.5,7.519,7.9,937611420.0,281283426.0,937611413.0,-281283419.0,1339694050.0,1,8.0,양호,23,0.149,108,6,7,145,24.2,20.7,보통,12404575.0,15705555.0,0.4379
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,67,고양장항초등학교,초등학교,37.64860182,126.7542941,7.957,10.196,12.0,1.138,2.6,9.195,10.8,8.057,8.2,937611420.0,281283426.0,937611413.0,-281283419.0,2045341770.0,1,8.0,양호,12,0.069,351,18,22,388,21.6,17.6,보통,5827185.0,7688024.0,0.4372
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,68,서울중동초등학교,초등학교,37.56641061,126.9117752,8.734,10.326,9.9,1.138,2.6,10.709,11.6,9.571,9.0,937611420.0,281283426.0,937611413.0,-281283419.0,2592303112.0,1,13.0,양호,123,0.096,394,23,29,431,18.7,14.9,보통,6579450.0,8190057.0,0.4331
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,69,서울신월초등학교,초등학교,37.54036551,126.8394555,7.135,9.371,8.9,1.138,2.6,11.086,11.4,9.948,8.8,937611420.0,281283426.0,937611413.0,-281283419.0,2480226920.0,1,35.0,양호,114,0.092,572,31,36,609,19.6,16.9,보통,4336061.0,5612214.0,0.4307
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,70,서울등촌초등학교,초등학교,37.54761422,126.8579422,6.874,9.197,9.9,1.138,2.6,10.335,12.5,9.197,9.9,937611420.0,281283426.0,937611413.0,-281283419.0,2439976067.0,1,6.0,양호,67,0.459,406,22,27,443,20.1,16.4,보통,6009793.0,7624351.0,0.4304
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,71,서울증산초등학교,초등학교,37.58256527,126.9042764,7.414,9.981,11.0,1.138,2.6,9.415,11.5,8.277,8.9,937611420.0,281283426.0,937611413.0,-281283419.0,3650199968.0,1,0.0,양호,105,0.251,622,33,39,659,20.0,16.9,보통,5868489.0,6961778.0,0.4273
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,72,원흥초등학교,초등학교,37.65103799,126.8687604,6.585,8.233,10.8,1.138,2.6,8.425,11.0,7.287,8.4,937611420.0,281283426.0,937611413.0,-281283419.0,1659223880.0,0,0.0,양호,43,0.098,442,22,32,479,21.8,15.0,보통,3753900.0,5421368.0,0.4266
행주초등학교,경기도교육청,경기도 고양시 덕양구,초등학교,본교,37,6,0.62371504,37.6034034,126.8243428,6.2,4.1,25340849.0,73,서울발산초등학교,초등학교,37.55026244,126.8309944,5.938,9.891,11.2,1.138,2.6,10.279,12.4,9.141,9.8,937611420.0,281283426.0,937611413.0,-281283419.0,3277553681.0,1,10.0,양호,87,0.069,882,43,56,919,21.4,16.4,보통,3716047.0,4586687.0,0.4262
